M0545,MERCEDES,,1
M0546,MERCK,,1
M0547,MERLIN,,1
M0548,METAL MATIC,,1
M0549,METALIC,,1
M0550,METAX,,1
M0551,METRO,,1
M0552,METRO USA,,1
M0553,METROHN,,1
M0554,METROLAB,,1
M0555,METRON,,1
M0556,METTLER,,1
M0557,MICOM,,1
M0558,MICROM,,1
M0559,MICRONIC,,1
M0560,MICRONICS,,1
M0561,MICRONTA,,1
M0562,MICROS,,1
M0563,MICROSOFT,,1
M0564,MICHEL,,1
M0565,MIDMARK,,1
M0566,MIKO,,1
M0567,MILANO,,1
M0568,MILTON R0Y,,1
M0569,MILLER,,1
M0570,MINDRAY,,1
M0571,MINI LINE,,1
M0572,MINI POWER,,1
M0573,MINIDENT,,1
M0574,MIRAY,,1
M0575,MISTER,,1
M0576,MISTOGEN,,1
M0577,MITEK,,1
M0578,MITSUBISHI,,1
M0579,MIZUHO,,1
M0580,MM,,1
M0581,MONFER,,1
M0582,MONROE,,1
M0583,MOR,,1
M0584,MORAVECO,,1
M0585,MORTARA,,1
M0586,MOTOROLA,,1
M0587,MOULINEX,,1
M0588,MULTILITE,,1
M0589,MULTITECH,,1
M0590,MUSCO,,1
M0591,MUSTANG,,1
M0592,MVP-1,,1
M0593,MYTEK,,1
M0594,NACIONAL,,1
M0595,NAPCO,,1
M0596,NATIONAL,,1
M0597,NCR,,1
M0598,NECCHI,,1
M0599,NEFROSTEC,,1
M0600,NEUMOVENT,,1
M0601,NEW PORT,,1
M0602,NEWLINK,,1
M0603,NHON KOHDEN,,1
M0604,NICOLET,,1
M0605,NIDEK,,1
M0606,NIHKON KOHDEN,,1
M0607,NIHON  KOHIDON,,1
M0608,NIHON HOHDEN,,1
M0609,NIHON KHODEN,,1
M0610,NIHON KHOOEN,,1
M0611,NIHON KODEN,,1
M0612,NIHON KOHDEN,,1
M0613,NIHON-KOHDEN,,1
M0614,NIKON,,1
M0615,NIPPON AMERICA,,1
M0616,NOKIA,,1
M0617,NONIN,,1
M0618,NORTH AMERICAN,,1
M0619,NOTHEN TELECOM,,1
M0620,NOVA,,1
M0621,NOVA MATRIX,,1
M0622,NOVA PM,,1
M0623,NOVAMETRIC,,1
M0624,NOVAMETRIX,,1
M0625,NTC,,1
M0626,NUVE,,1
M0627,OHAUS,,1
M0628,OHAVS,,1
M0629,OHIO,,1
M0630,OHMEDA,,1
M0631,OKIDATA,,1
M0632,OLIDEF,,1
M0633,OLIMPIA,,1
M0634,OLIMPUS,,1
M0635,OLIMPYA,,1
M0636,OLIVETTI,,1
M0637,OLIVETTY,,1
M0638,OLYMPIA,,1
M0639,OLYMPUS,,1
M0640,OPTIMA,,1
M0641,OSMO,,1
M0642,OSMONICS,,1
M0643,OSTER,,1
M0644,OSTERIZER,,1
M0645,OTIS,,1
M0646,OXFORD,,1
M0647,OXIGEN,,1
M0648,OXYGEN,,1
M0649,PACESETTER AB,,1
M0650,PACKARD BELL,,1
M0651,PANAPHONE,,1
M0652,PANASONIC,,1
M0653,PANSONIC,,1
M0654,PASSPORT,,1
M0655,PC-POWER,,1
M0656,PEAVEY,,1
M0657,PEDROLLO,,1
M0658,PEERLESS-UMP,,1
M0659,PELTON GRANE,,1
M0660,PELTRO CRANE,,1
M0661,PENLON,,1
M0662,PENTAX,,1
M0663,PERFECCION,,1
M0664,PERFECTION,,1
M0665,PERKIN ELMER,,1
M0666,PERKINS,,1
M0667,PHILIPS,,1
M0668,PHILLIPS,,1
M0669,PHYSIO CONTROL,,1
M0670,PICKER,,1
M0671,PIONEER,,1
M0672,PIONER,,1
